id, total
0,18.943120182823662
1,61.42542135303493
2,23.145479220995195
3,34.399455367824324
4,45.54089635777854
5,15.356455867079758
6,73.09493147116578
7,25.221717724883998
8,18.865688649668115
9,37.19065233220561
10,54.635600426844064
11,34.59258967318633
12,22.810544398180582
13,39.20812389251662
14,32.31761482321626
15,40.34169368202541
16,51.168288843787415
17,65.34702049159344
18,28.202881379295736
19,52.64239549683006
20,9.806494914226443
21,12.710227035482633
22,51.36702518986868
23,20.870504371025124
24,54.641202467563325
25,43.672279113154886
26,64.52788982037238
27,69.26444199447735
28,16.925648622512657
29,2.9037321212561906
30,33.6581629396633
31,60.777999492171055
32,38.27994213203973
33,5.8848957756679265
34,36.668828177075135
35,29.143316863442514
36,10.435252185512562
37,46.06896548595517
38,16.296891351226538
39,18.295698321959794
40,23.145479220995195
41,71.48064990086962
42,73.17796504504058
43,50.91273763436682
44,38.5374454216988
45,63.28526894160777
46,51.73605361605959
47,9.394128558256284
48,46.91370696265276
49,6.490396437000094
